{'Time': '2023-09-03T20:17:02.357532', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '147516', 'Gig0-0_In_uPackets': '1294', 'Gig0-0_Out_Octet': '146354', 'Gig0-0_Out_uPackets': '1284'}
{'Time': '2023-09-03T20:27:02.217296', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '154698', 'Gig0-0_In_uPackets': '1357', 'Gig0-0_Out_Octet': '153536', 'Gig0-0_Out_uPackets': '1347'}
{'Time': '2023-09-03T20:30:02.090347', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '156864', 'Gig0-0_In_uPackets': '1376', 'Gig0-0_Out_Octet': '155702', 'Gig0-0_Out_uPackets': '1366'}
{'Time': '2023-09-03T20:33:01.913841', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '159030', 'Gig0-0_In_uPackets': '1395', 'Gig0-0_Out_Octet': '157868', 'Gig0-0_Out_uPackets': '1385'}
{'Time': '2023-09-03T20:36:01.747085', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '161196', 'Gig0-0_In_uPackets': '1414', 'Gig0-0_Out_Octet': '160034', 'Gig0-0_Out_uPackets': '1404'}
{'Time': '2023-09-03T20:39:01.568635', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '163248', 'Gig0-0_In_uPackets': '1432', 'Gig0-0_Out_Octet': '162200', 'Gig0-0_Out_uPackets': '1423'}
{'Time': '2023-09-03T20:42:01.594533', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '165414', 'Gig0-0_In_uPackets': '1451', 'Gig0-0_Out_Octet': '164366', 'Gig0-0_Out_uPackets': '1442'}
{'Time': '2023-09-03T20:45:01.537154', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '167580', 'Gig0-0_In_uPackets': '1470', 'Gig0-0_Out_Octet': '166532', 'Gig0-0_Out_uPackets': '1461'}
{'Time': '2023-09-03T20:48:01.389290', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '169746', 'Gig0-0_In_uPackets': '1489', 'Gig0-0_Out_Octet': '168698', 'Gig0-0_Out_uPackets': '1480'}
{'Time': '2023-09-03T20:51:01.448098', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '172026', 'Gig0-0_In_uPackets': '1509', 'Gig0-0_Out_Octet': '170864', 'Gig0-0_Out_uPackets': '1499'}
{'Time': '2023-09-03T20:54:01.347170', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '174192', 'Gig0-0_In_uPackets': '1528', 'Gig0-0_Out_Octet': '173030', 'Gig0-0_Out_uPackets': '1518'}
{'Time': '2023-09-03T20:57:02.157625', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '176358', 'Gig0-0_In_uPackets': '1547', 'Gig0-0_Out_Octet': '175196', 'Gig0-0_Out_uPackets': '1537'}
{'Time': '2023-09-03T21:00:01.981357', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '178524', 'Gig0-0_In_uPackets': '1566', 'Gig0-0_Out_Octet': '177362', 'Gig0-0_Out_uPackets': '1556'}
{'Time': '2023-09-03T21:03:02.108793', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '180690', 'Gig0-0_In_uPackets': '1585', 'Gig0-0_Out_Octet': '179528', 'Gig0-0_Out_uPackets': '1575'}
{'Time': '2023-09-03T21:06:01.922086', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '182742', 'Gig0-0_In_uPackets': '1603', 'Gig0-0_Out_Octet': '181694', 'Gig0-0_Out_uPackets': '1594'}
{'Time': '2023-09-03T21:09:01.768722', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '184908', 'Gig0-0_In_uPackets': '1622', 'Gig0-0_Out_Octet': '183746', 'Gig0-0_Out_uPackets': '1612'}
{'Time': '2023-09-03T21:12:01.627661', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '187074', 'Gig0-0_In_uPackets': '1641', 'Gig0-0_Out_Octet': '185912', 'Gig0-0_Out_uPackets': '1631'}
{'Time': '2023-09-03T21:15:01.489638', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '189240', 'Gig0-0_In_uPackets': '1660', 'Gig0-0_Out_Octet': '188078', 'Gig0-0_Out_uPackets': '1650'}
{'Time': '2023-09-03T21:18:01.338025', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '191406', 'Gig0-0_In_uPackets': '1679', 'Gig0-0_Out_Octet': '190244', 'Gig0-0_Out_uPackets': '1669'}
{'Time': '2023-09-03T21:21:02.168425', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '193572', 'Gig0-0_In_uPackets': '1698', 'Gig0-0_Out_Octet': '192410', 'Gig0-0_Out_uPackets': '1688'}
{'Time': '2023-09-03T21:24:01.978015', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '195738', 'Gig0-0_In_uPackets': '1717', 'Gig0-0_Out_Octet': '194576', 'Gig0-0_Out_uPackets': '1707'}
{'Time': '2023-09-03T21:27:01.814180', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '197904', 'Gig0-0_In_uPackets': '1736', 'Gig0-0_Out_Octet': '196742', 'Gig0-0_Out_uPackets': '1726'}
{'Time': '2023-09-03T21:30:01.756755', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '200070', 'Gig0-0_In_uPackets': '1755', 'Gig0-0_Out_Octet': '198908', 'Gig0-0_Out_uPackets': '1745'}
{'Time': '2023-09-03T21:33:01.600784', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '202236', 'Gig0-0_In_uPackets': '1774', 'Gig0-0_Out_Octet': '201074', 'Gig0-0_Out_uPackets': '1764'}
{'Time': '2023-09-03T21:36:01.442223', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '204288', 'Gig0-0_In_uPackets': '1792', 'Gig0-0_Out_Octet': '203126', 'Gig0-0_Out_uPackets': '1782'}
{'Time': '2023-09-03T21:39:01.310819', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '206568', 'Gig0-0_In_uPackets': '1812', 'Gig0-0_Out_Octet': '205406', 'Gig0-0_Out_uPackets': '1802'}
{'Time': '2023-09-03T21:42:02.060863', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '208734', 'Gig0-0_In_uPackets': '1831', 'Gig0-0_Out_Octet': '207572', 'Gig0-0_Out_uPackets': '1821'}
{'Time': '2023-09-03T21:45:01.937906', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '210900', 'Gig0-0_In_uPackets': '1850', 'Gig0-0_Out_Octet': '209738', 'Gig0-0_Out_uPackets': '1840'}
{'Time': '2023-09-03T21:48:01.853996', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '212952', 'Gig0-0_In_uPackets': '1868', 'Gig0-0_Out_Octet': '211904', 'Gig0-0_Out_uPackets': '1859'}
{'Time': '2023-09-03T21:51:02.156823', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '215118', 'Gig0-0_In_uPackets': '1887', 'Gig0-0_Out_Octet': '213956', 'Gig0-0_Out_uPackets': '1877'}
{'Time': '2023-09-03T21:54:02.026378', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '217398', 'Gig0-0_In_uPackets': '1907', 'Gig0-0_Out_Octet': '216236', 'Gig0-0_Out_uPackets': '1897'}
{'Time': '2023-09-03T21:57:02.176454', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '219450', 'Gig0-0_In_uPackets': '1925', 'Gig0-0_Out_Octet': '218288', 'Gig0-0_Out_uPackets': '1915'}
{'Time': '2023-09-03T22:00:02.081070', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '221616', 'Gig0-0_In_uPackets': '1944', 'Gig0-0_Out_Octet': '220454', 'Gig0-0_Out_uPackets': '1934'}
{'Time': '2023-09-03T22:03:01.921061', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '223782', 'Gig0-0_In_uPackets': '1963', 'Gig0-0_Out_Octet': '222620', 'Gig0-0_Out_uPackets': '1953'}
{'Time': '2023-09-03T22:06:02.051851', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '225948', 'Gig0-0_In_uPackets': '1982', 'Gig0-0_Out_Octet': '224786', 'Gig0-0_Out_uPackets': '1972'}
{'Time': '2023-09-03T22:09:02.086083', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '228114', 'Gig0-0_In_uPackets': '2001', 'Gig0-0_Out_Octet': '226952', 'Gig0-0_Out_uPackets': '1991'}
{'Time': '2023-09-03T22:12:05.286294', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '230394', 'Gig0-0_In_uPackets': '2021', 'Gig0-0_Out_Octet': '229232', 'Gig0-0_Out_uPackets': '2011'}
{'Time': '2023-09-03T22:15:02.122036', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '232446', 'Gig0-0_In_uPackets': '2039', 'Gig0-0_Out_Octet': '231284', 'Gig0-0_Out_uPackets': '2029'}
{'Time': '2023-09-03T22:18:02.291193', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '234612', 'Gig0-0_In_uPackets': '2058', 'Gig0-0_Out_Octet': '233450', 'Gig0-0_Out_uPackets': '2048'}
{'Time': '2023-09-03T22:21:02.224783', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '236778', 'Gig0-0_In_uPackets': '2077', 'Gig0-0_Out_Octet': '235616', 'Gig0-0_Out_uPackets': '2067'}
{'Time': '2023-09-03T22:24:02.137219', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '238944', 'Gig0-0_In_uPackets': '2096', 'Gig0-0_Out_Octet': '237782', 'Gig0-0_Out_uPackets': '2086'}
{'Time': '2023-09-03T22:27:01.490566', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '241110', 'Gig0-0_In_uPackets': '2115', 'Gig0-0_Out_Octet': '239948', 'Gig0-0_Out_uPackets': '2105'}
{'Time': '2023-09-03T22:30:01.509886', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '243276', 'Gig0-0_In_uPackets': '2134', 'Gig0-0_Out_Octet': '242114', 'Gig0-0_Out_uPackets': '2124'}
{'Time': '2023-09-03T22:33:01.370531', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '245442', 'Gig0-0_In_uPackets': '2153', 'Gig0-0_Out_Octet': '244280', 'Gig0-0_Out_uPackets': '2143'}
{'Time': '2023-09-03T22:36:01.544567', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '247608', 'Gig0-0_In_uPackets': '2172', 'Gig0-0_Out_Octet': '246332', 'Gig0-0_Out_uPackets': '2161'}
{'Time': '2023-09-03T22:39:01.401998', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '249774', 'Gig0-0_In_uPackets': '2191', 'Gig0-0_Out_Octet': '248498', 'Gig0-0_Out_uPackets': '2180'}
{'Time': '2023-09-03T22:42:01.548677', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '251940', 'Gig0-0_In_uPackets': '2210', 'Gig0-0_Out_Octet': '250664', 'Gig0-0_Out_uPackets': '2199'}
{'Time': '2023-09-03T22:45:01.434129', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '254106', 'Gig0-0_In_uPackets': '2229', 'Gig0-0_Out_Octet': '252830', 'Gig0-0_Out_uPackets': '2218'}
{'Time': '2023-09-03T22:48:02.256687', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '256272', 'Gig0-0_In_uPackets': '2248', 'Gig0-0_Out_Octet': '254996', 'Gig0-0_Out_uPackets': '2237'}
{'Time': '2023-09-03T22:51:02.162751', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '258324', 'Gig0-0_In_uPackets': '2266', 'Gig0-0_Out_Octet': '257162', 'Gig0-0_Out_uPackets': '2256'}
{'Time': '2023-09-03T22:54:01.989828', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '260490', 'Gig0-0_In_uPackets': '2285', 'Gig0-0_Out_Octet': '259328', 'Gig0-0_Out_uPackets': '2275'}
{'Time': '2023-09-03T22:57:01.849964', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '262656', 'Gig0-0_In_uPackets': '2304', 'Gig0-0_Out_Octet': '261494', 'Gig0-0_Out_uPackets': '2294'}
{'Time': '2023-09-03T23:00:01.714638', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '264822', 'Gig0-0_In_uPackets': '2323', 'Gig0-0_Out_Octet': '263660', 'Gig0-0_Out_uPackets': '2313'}
{'Time': '2023-09-03T23:03:01.671693', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '266988', 'Gig0-0_In_uPackets': '2342', 'Gig0-0_Out_Octet': '265826', 'Gig0-0_Out_uPackets': '2332'}
{'Time': '2023-09-03T23:06:01.553362', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '269154', 'Gig0-0_In_uPackets': '2361', 'Gig0-0_Out_Octet': '267992', 'Gig0-0_Out_uPackets': '2351'}
{'Time': '2023-09-03T23:09:01.461316', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '271320', 'Gig0-0_In_uPackets': '2380', 'Gig0-0_Out_Octet': '270044', 'Gig0-0_Out_uPackets': '2369'}
{'Time': '2023-09-03T23:12:01.323907', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '273486', 'Gig0-0_In_uPackets': '2399', 'Gig0-0_Out_Octet': '272324', 'Gig0-0_Out_uPackets': '2389'}
{'Time': '2023-09-03T23:15:02.772535', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '275652', 'Gig0-0_In_uPackets': '2418', 'Gig0-0_Out_Octet': '274376', 'Gig0-0_Out_uPackets': '2407'}
{'Time': '2023-09-03T23:18:01.638491', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '277704', 'Gig0-0_In_uPackets': '2436', 'Gig0-0_Out_Octet': '276542', 'Gig0-0_Out_uPackets': '2426'}
{'Time': '2023-09-03T23:21:01.826560', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '279984', 'Gig0-0_In_uPackets': '2456', 'Gig0-0_Out_Octet': '278708', 'Gig0-0_Out_uPackets': '2445'}
{'Time': '2023-09-03T23:24:01.709771', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '282036', 'Gig0-0_In_uPackets': '2474', 'Gig0-0_Out_Octet': '280874', 'Gig0-0_Out_uPackets': '2464'}
{'Time': '2023-09-03T23:27:01.592731', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '284202', 'Gig0-0_In_uPackets': '2493', 'Gig0-0_Out_Octet': '283040', 'Gig0-0_Out_uPackets': '2483'}
{'Time': '2023-09-03T23:30:01.473632', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '286368', 'Gig0-0_In_uPackets': '2512', 'Gig0-0_Out_Octet': '285206', 'Gig0-0_Out_uPackets': '2502'}
{'Time': '2023-09-03T23:33:01.328842', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '288534', 'Gig0-0_In_uPackets': '2531', 'Gig0-0_Out_Octet': '287372', 'Gig0-0_Out_uPackets': '2521'}
{'Time': '2023-09-03T23:36:02.234840', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '290700', 'Gig0-0_In_uPackets': '2550', 'Gig0-0_Out_Octet': '289538', 'Gig0-0_Out_uPackets': '2540'}
{'Time': '2023-09-03T23:39:02.085956', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '292866', 'Gig0-0_In_uPackets': '2569', 'Gig0-0_Out_Octet': '291704', 'Gig0-0_Out_uPackets': '2559'}
{'Time': '2023-09-03T23:42:02.124216', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '295032', 'Gig0-0_In_uPackets': '2588', 'Gig0-0_Out_Octet': '293870', 'Gig0-0_Out_uPackets': '2578'}
{'Time': '2023-09-03T23:45:01.995008', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '297198', 'Gig0-0_In_uPackets': '2607', 'Gig0-0_Out_Octet': '296036', 'Gig0-0_Out_uPackets': '2597'}
{'Time': '2023-09-03T23:48:01.931985', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '299364', 'Gig0-0_In_uPackets': '2626', 'Gig0-0_Out_Octet': '298202', 'Gig0-0_Out_uPackets': '2616'}
{'Time': '2023-09-03T23:51:01.996758', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '301530', 'Gig0-0_In_uPackets': '2645', 'Gig0-0_Out_Octet': '300254', 'Gig0-0_Out_uPackets': '2634'}
{'Time': '2023-09-03T23:54:01.956767', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '303696', 'Gig0-0_In_uPackets': '2664', 'Gig0-0_Out_Octet': '302420', 'Gig0-0_Out_uPackets': '2653'}
{'Time': '2023-09-03T23:57:01.862929', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '305862', 'Gig0-0_In_uPackets': '2683', 'Gig0-0_Out_Octet': '304586', 'Gig0-0_Out_uPackets': '2672'}
{'Time': '2023-09-04T00:00:01.736772', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '308028', 'Gig0-0_In_uPackets': '2702', 'Gig0-0_Out_Octet': '306752', 'Gig0-0_Out_uPackets': '2691'}
{'Time': '2023-09-04T00:03:01.633079', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '310194', 'Gig0-0_In_uPackets': '2721', 'Gig0-0_Out_Octet': '308918', 'Gig0-0_Out_uPackets': '2710'}
{'Time': '2023-09-04T00:06:01.584657', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '312360', 'Gig0-0_In_uPackets': '2740', 'Gig0-0_Out_Octet': '311084', 'Gig0-0_Out_uPackets': '2729'}
{'Time': '2023-09-04T00:09:01.582572', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '314526', 'Gig0-0_In_uPackets': '2759', 'Gig0-0_Out_Octet': '313250', 'Gig0-0_Out_uPackets': '2748'}
{'Time': '2023-09-04T00:12:01.529574', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '316692', 'Gig0-0_In_uPackets': '2778', 'Gig0-0_Out_Octet': '315416', 'Gig0-0_Out_uPackets': '2767'}
{'Time': '2023-09-04T00:15:01.575763', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '318858', 'Gig0-0_In_uPackets': '2797', 'Gig0-0_Out_Octet': '317582', 'Gig0-0_Out_uPackets': '2786'}
{'Time': '2023-09-04T00:18:01.442674', 'hostname': 'core-rtr01.virl.info', 'Gig0-0_In_Octet': '321024', 'Gig0-0_In_uPackets': '2816', 'Gig0-0_Out_Octet': '319748', 'Gig0-0_Out_uPackets': '2805'}
